timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1760643980881,294,GET Sleep Test,200,,500 Users Load Test 1-101,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,294,0,0
1760643980878,297,GET Sleep Test,200,,500 Users Load Test 1-86,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,297,0,0
1760643980882,292,GET Sleep Test,200,,500 Users Load Test 1-104,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,292,0,0
1760643980883,292,GET Sleep Test,200,,500 Users Load Test 1-110,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,292,0,1
1760643980882,293,GET Sleep Test,200,,500 Users Load Test 1-103,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,293,0,0
1760643980880,295,GET Sleep Test,200,,500 Users Load Test 1-97,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,295,0,1
1760643980882,293,GET Sleep Test,200,,500 Users Load Test 1-108,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,293,0,0
1760643980881,294,GET Sleep Test,200,,500 Users Load Test 1-102,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,294,0,1
1760643980884,292,GET Sleep Test,200,,500 Users Load Test 1-112,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,292,0,0
1760643981072,106,GET Sleep Test,200,,500 Users Load Test 1-59,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,106,0,0
1760643980883,295,GET Sleep Test,200,,500 Users Load Test 1-109,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,295,0,0
1760643980883,295,GET Sleep Test,200,,500 Users Load Test 1-111,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,295,0,0
1760643980884,294,GET Sleep Test,200,,500 Users Load Test 1-113,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,294,0,1
1760643980884,294,GET Sleep Test,200,,500 Users Load Test 1-115,text,true,,163,130,500,500,http://localhost:8080/api/sleep-test,294,0,0
